season,round,date,competition,venue,home_team,away_team,score_ht,score_ft,xg_home,xg_away,shots_home,shots_away,sot_home,sot_away,bc_home,bc_away,passes_home,passes_away,passes_acc_home,passes_acc_away,pass_pct_home,pass_pct_away,poss_home,poss_away,position,fixture_id
2025/26,34,2026-05-23,Ekstraklasa,H,Widzew Łódź,Piast Gliwice,,2:1,0.67,0.46,10,9,2,3,3,1,260,428,170,336,65,79,38,62,14,n3LN7zK6
2025/26,33,2026-05-15,Ekstraklasa,A,Korona Kielce,Widzew Łódź,,1:0,0.8,0.53,11,7,2,3,1,1,295,389,224,310,76,80,43,57,15,h06R0S6M
2025/26,32,2026-05-09,Ekstraklasa,H,Widzew Łódź,Lechia Gdańsk,,3:1,1.85,0.99,18,11,4,2,3,0,429,391,343,297,80,76,52,48,14,jFYZiXNi
2025/26,31,2026-05-01,Ekstraklasa,A,Legia Warszawa,Widzew Łódź,,1:0,1.66,0.3,15,6,4,1,3,0,489,305,408,229,83,75,62,38,16,GnmSODx8
2025/26,30,2026-04-26,Ekstraklasa,H,Widzew Łódź,Motor Lublin,,2:0,1.18,0.67,14,9,5,1,2,1,247,436,172,357,70,82,37,63,16,n7eBSewq
2025/26,29,2026-04-18,Ekstraklasa,A,Radomiak Radom,Widzew Łódź,,2:1,2.33,0.24,20,7,5,2,2,0,341,341,262,240,77,70,51,49,17,b5m6N9en
2025/26,28,2026-04-11,Ekstraklasa,H,Widzew Łódź,Bruk-Bet T.,,1:0,2.07,0.8,20,9,8,2,6,1,394,322,309,225,78,70,56,44,17,0fTDhkdC
2025/26,27,2026-04-04,Ekstraklasa,A,Raków Częstochowa,Widzew Łódź,,1:1,1.22,1.07,7,16,2,2,3,1,305,468,203,386,67,82,39,61,17,CjtkTYS0
2025/26,26,2026-03-22,Ekstraklasa,H,Widzew Łódź,Górnik Zabrze,,0:0,0.3,0.38,5,8,0,2,0,0,374,443,259,340,69,77,46,54,17,46tQxn0c
2025/26,25,2026-03-15,Ekstraklasa,A,Arka Gdynia,Widzew Łódź,,0:0,0.6,0.66,10,10,1,1,1,0,313,331,238,234,76,71,49,51,17,8O69Blp1
2025/26,24,2026-03-07,Ekstraklasa,H,Widzew Łódź,Lech Poznań,,2:1,0.68,0.85,11,12,4,6,1,3,219,565,148,492,68,87,29,71,17,0b31DAFl
2025/26,23,2026-02-28,Ekstraklasa,A,Pogoń Szczecin,Widzew Łódź,,1:0,0.7,0.84,9,8,3,2,2,3,310,461,230,381,74,83,40,60,17,bij3ZfXq
2025/26,22,2026-02-20,Ekstraklasa,H,Widzew Łódź,Cracovia,,0:0,0.97,0.81,14,12,4,1,1,1,304,457,217,351,71,77,41,59,17,0dj3w4YH
2025/26,21,2026-02-14,Ekstraklasa,A,Wisła Płock,Widzew Łódź,,0:2,0.97,2.29,10,15,1,4,1,4,374,386,294,316,79,82,49,51,15,0vTP8hTQ
2025/26,20,2026-02-08,Ekstraklasa,A,GKS Katowice,Widzew Łódź,,1:0,0.57,0.37,8,9,4,1,1,1,223,544,130,429,58,79,29,71,17,betFjg7r
2025/26,19,2026-01-31,Ekstraklasa,H,Widzew Łódź,Jagiellonia Białystok,,1:3,1.69,1.23,17,5,3,3,2,2,411,354,305,244,74,69,54,46,16,ziI1CFC4
2025/26,18,2025-12-06,Ekstraklasa,A,Zagłębie Lubin,Widzew Łódź,,2:1,0.88,0.98,15,14,6,6,0,2,381,392,282,316,74,81,50,50,13,zH1howE5
2025/26,17,2025-11-28,Ekstraklasa,A,Piast Gliwice,Widzew Łódź,,0:2,1.18,2.61,25,10,3,4,1,4,581,273,479,188,82,69,68,32,10,vDYRY8Or
2025/26,16,2025-11-23,Ekstraklasa,H,Widzew Łódź,Korona Kielce,,1:3,1.45,2.2,23,13,5,5,2,3,390,297,314,227,81,76,56,44,14,EkNI7WPq
2025/26,15,2025-11-08,Ekstraklasa,A,Lechia Gdańsk,Widzew Łódź,,2:1,1.16,1.45,14,9,3,3,4,2,396,382,331,302,84,79,52,48,12,hvVgnPc6
2025/26,14,2025-11-02,Ekstraklasa,H,Widzew Łódź,Legia Warszawa,,1:1,1.4,1.74,10,20,3,3,2,3,329,442,274,391,83,88,42,58,11,8YX7eTzK
2025/26,13,2025-10-24,Ekstraklasa,A,Motor Lublin,Widzew Łódź,,3:0,2.4,0.59,16,13,5,4,5,1,347,407,288,363,83,89,46,54,12,8Ct9nDzh
2025/26,12,2025-10-17,Ekstraklasa,H,Widzew Łódź,Radomiak Radom,,3:2,2.55,2.06,18,19,6,6,6,2,326,347,254,281,78,81,48,52,8,f9GZXDLb
2025/26,11,2025-10-04,Ekstraklasa,A,Bruk-Bet T.,Widzew Łódź,,2:4,0.87,1.47,9,14,4,10,2,4,378,334,291,262,77,78,53,47,11,0pQ2ESO8
2025/26,10,2025-09-28,Ekstraklasa,H,Widzew Łódź,Raków Częstochowa,,0:1,0.57,1.23,6,20,1,6,1,1,353,553,281,493,80,89,38,62,12,vuu8ho2k
2025/26,9,2025-09-21,Ekstraklasa,A,Górnik Zabrze,Widzew Łódź,,3:2,2.43,1.43,17,11,7,5,3,2,378,385,315,310,83,81,50,50,10,vJRmzqVN
2025/26,8,2025-09-14,Ekstraklasa,H,Widzew Łódź,Arka Gdynia,,2:0,2.4,0.97,14,13,8,5,5,1,377,392,316,324,84,83,49,51,7,v1GDYVgJ
2025/26,7,2025-08-31,Ekstraklasa,A,Lech Poznań,Widzew Łódź,,2:1,1.6,1.36,13,15,5,3,3,3,418,389,344,318,82,82,51,49,13,2ewl9FQ7
2025/26,6,2025-08-22,Ekstraklasa,H,Widzew Łódź,Pogoń Szczecin,,1:2,1.08,0.32,13,8,4,4,2,2,433,364,341,277,79,76,54,46,9,IT4R5tKF
2025/26,5,2025-08-15,Ekstraklasa,A,Cracovia,Widzew Łódź,,1:0,0.52,0.87,8,14,2,4,2,0,264,332,189,249,72,75,44,56,8,0fLaeYat
2025/26,4,2025-08-09,Ekstraklasa,H,Widzew Łódź,Wisła Płock,,1:1,0.87,0.7,15,5,6,1,0,2,498,322,424,236,85,73,61,39,4,2aTaQD06
2025/26,3,2025-08-02,Ekstraklasa,H,Widzew Łódź,GKS Katowice,,3:0,1.72,1.09,21,8,4,3,3,1,274,364,206,297,75,82,43,57,4,GM5XZrId
2025/26,2,2025-07-27,Ekstraklasa,A,Jagiellonia Białystok,Widzew Łódź,,3:2,1.63,1.18,12,18,5,7,3,2,442,314,364,244,82,78,59,41,7,8MoGASlo
2025/26,1,2025-07-19,Ekstraklasa,H,Widzew Łódź,Zagłębie Lubin,,1:0,1.06,0.66,15,11,4,2,0,0,349,311,283,244,81,78,53,47,7,OYPnB2qR
